config,note,time_2000,status_2000,all_optimal
"{""solver"": ""simplex"", ""simplex_strategy"": 1, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",baseline,64.40700000000288,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",solver=ipm strategy=1,2.2810000000026776,HighsModelStatus.kOptimal,False
"{""solver"": ""simplex"", ""simplex_strategy"": 0, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",solver=simplex strategy=0,64.14099999999962,HighsModelStatus.kOptimal,False
"{""solver"": ""simplex"", ""simplex_strategy"": 1, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",solver=simplex strategy=1,64.34400000000096,HighsModelStatus.kOptimal,False
"{""solver"": ""simplex"", ""simplex_strategy"": 2, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",solver=simplex strategy=2,60.75,HighsModelStatus.kOptimal,False
"{""solver"": ""simplex"", ""simplex_strategy"": 3, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",solver=simplex strategy=3,69.61000000000058,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""on"", ""parallel"": ""off"", ""scaling"": ""on""}",test presolve=on,2.0940000000009604,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""off"", ""parallel"": ""off"", ""scaling"": ""on""}",test presolve=off,2.0309999999990396,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""off"", ""parallel"": ""on"", ""scaling"": ""on""}",test parallel=on,2.139999999999418,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""off"", ""parallel"": ""off"", ""scaling"": ""on""}",test parallel=off,2.2180000000007567,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""off"", ""parallel"": ""off"", ""scaling"": ""on""}",test scaling=on,2.188000000001921,HighsModelStatus.kOptimal,False
"{""solver"": ""ipm"", ""simplex_strategy"": 1, ""presolve"": ""off"", ""parallel"": ""off"", ""scaling"": ""off""}",test scaling=off,2.1409999999996217,HighsModelStatus.kOptimal,False
